"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA24WA244","ACC","194772","2024-07-24T04:00:00Z","Kathmandu",,"Nepal",,"9N-AME",,"false","Aviation","",,,"Fatal","19","1","0","19",,,,,,,"BOMBARDIER","CL600 2B19","AIR","VNKT","Tribhuvan International Airport","false",,,"NSCH",,"NUSC","Destroyed",,"Saurya Airlines","Initial Climb","N/A",,"Prelim","","None"
"GAA24WA256","ACC","194927","2024-07-16T10:50:00Z","Carate",,"Costa Rica",,"TI-API",,"false","Aviation","",,,"Fatal","2","0","0","2",,,,,"8.4449000000000005","-83.462999999999994","PIPER","PA34","AIR","MRCE",,"false",,,,,"NUSC","Destroyed",,,"Takeoff","N/A",,"Prelim","","None"
"DCA24WA185","ACC","194299","2024-05-21T07:50:00Z","Payagyi","Other Foreign","Burma",,"9V-SWM",,"false","Aviation","",,,"Fatal","1","14","0","14",,,,,"16.476241999999999","95.201690999999997","BOEING","777","AIR",,,"false",,,"SCHD",,"NUSC","Minor",,"Singapore Airlines","Enroute","N/A",,"Prelim","","None"
"GAA24WA131","ACC","194016","2024-02-11T12:22:00Z","Lote Ocho",,"Mexico",,"XB-SKA","LW-43","false","Aviation","",,,"Fatal","9","0","0","9","0",,,,"17.466667000000001","-92.133332999999993","BEECH","E90","AIR","MMPQ","Palenque International Airport","false","2",,"NSCH","BUS","NUSC","Unknown",,"Comercializadora Masvi","Approach","N/A",,"Prelim","","None"
"GAA24WA061","ACC","193590","2023-12-29T10:08:00Z","Carletonville","Other Foreign","South Africa",,"ZS-XPC, ZS-STD",,"false","Aviation","",,,"Fatal","3","0","0","3",,,,,"-26.138639000000001","27.442388999999999","AIR TRACTOR, CESSNA","AT502, 182","AIR, AIR",,,"false, false",,,,"AAPL, PERS","NUSC, NUSN","Substantial, Substantial",,"CHB Botha, FG Construction Solutions","Maneuvering","N/A",,"Prelim","","None"
"GAA24WA049","ACC","193471","2023-12-04T09:59:00Z","Terre-de-Haut","Other Foreign","Guadeloupe",,"N15902","32-7300019","false","Aviation","",,,"Fatal","5","0","0","5",,,,,"15.861584000000001","-61.563175999999999","PIPER","PA-32-260","AIR",,,"false","1",,,,"NUSC","Unknown","VMC",,"Unknown","N/A",,"Prelim","","None"
"GAA24WA022","ACC","193323","2023-10-29T12:20:00Z","Rio Branco","Other Foreign","Brazil",,"PT-MEE",,"false","Aviation","",,,"Fatal","12","0","0","12","0",,,,,,"CESSNA","208","AIR","SBRB",,"false",,,,,"NUSC","Destroyed",,,"Initial Climb","N/A",,"Prelim","","None"
"GAA24WA013","ACC","193268","2023-10-15T11:00:00Z","Monêtier-Allemont",,"France",,"F-HSLE","20800340","false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"CESSNA","208","AIR",,,"false","1",,,,"NUSC","Destroyed",,,"Maneuvering","N/A",,"Prelim","","None"
"GAA23WA133","ACC","107125","2023-04-23T14:33:00Z","Isla Mocha","Other Foreign","Chile",,"CC-PFC",,"false","Aviation","",,,"Fatal","4","1","0","5",,,,,"-38.413234000000003","-73.899854000000005","PIPER","PA32","AIR",,,"false",,,,,"NUSC","Substantial",,,"Initial Climb","N/A",,"Prelim","","None"
"GAA23WA095","ACC","106892","2023-03-11T16:15:00Z","Belo Horizonte","Other Foreign","Brazil",,"PT-FLK",,"false","Aviation","",,,"Fatal","1","1","0","2",,,,,,,"CESSNA","182","AIR","SWWT",,"false",,,,,"NUSC","Substantial",,,"Landing","N/A",,"Prelim","","None"
"GAA23WA055","ACC","106567","2023-01-06T20:20:00Z","Marabá Paulista",,"Brazil",,"PT-BKX",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,"-22.220559999999999","-52.126669999999997","CESSNA","188","AIR","SDNE",,"false",,,,"AAPL","NUSC","Substantial",,"AEROMART AVIAÇÃO AGRÍCOLA LTDA","Enroute","N/A",,"Prelim","","None"
"GAA23WA046","ACC","106502","2022-12-22T07:20:00Z","Brasnorte","Other Foreign","Brazil",,"PP-IRC",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"AIR TRACTOR","AT502","AIR",,,"false",,,,,"NUSC","Substantial",,,"Initial Climb","N/A",,"Prelim","","None"
"GAA23WA029","ACC","106339","2022-11-21T16:15:00Z","Medellin","Other Foreign","Colombia",,"HK 5121",,"false","Aviation","",,,"Fatal","8","0","0","8",,,,,,,"PIPER","PA-31-350","AIR","SKMD",,"false",,,,,"NUSC","Destroyed",,"Aeropaca S.A.S.","Initial Climb","N/A",,"Prelim","","None"
"GAA23WA041","ACC","106458","2022-11-18T19:00:00Z","Vera","Other Foreign","Brazil",,"PP-OBL",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"AIR TRACTOR","AT502","AIR",,,"false",,,,,"NUSC","Substantial",,,"Maneuvering","N/A",,"Prelim","","None"
"GAA23WA017","ACC","106198","2022-10-18T20:31:00Z","Guayaquil",,"Ecuador",,"HC-CLR",,"false","Aviation","",,,"Fatal","2","1","0","3",,,,,,,"CESSNA","T206G","AIR",,,"false",,,,,"NUSC","Destroyed",,"Deprivedo","Landing","N/A",,"Prelim","","None"
"DCA22WA208","ACC","105996","2022-09-20T04:00:00Z","San Antonio del Estrecho",,"Peru",,"OB-2152",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"BAE","3201EP","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Takeoff","N/A",,"Prelim","","None"
"GAA22WA278","ACC","105922","2022-09-10T13:50:00Z","Oriximina","Other Foreign","Brazil",,"PT-MES","208B0507","false","Aviation","",,,"Fatal","1","0","5","6",,,,,,,"CESSNA","208B","AIR",,,"false",,,,,"NUSC","Substantial",,,"Unknown","N/A",,"Prelim","","None"
"GAA22WA226","ACC","105493","2022-07-15T15:20:00Z","Puerto Lopez","Other Foreign","Colombia",,"HK1368",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"CESSNA","A188","AIR",,,"false",,,,,"NUSC","Destroyed",,"AEROLAMINAS S.A.S","Maneuvering","N/A",,"Prelim","","None"
"GAA22WA218","ACC","105409","2022-07-01T14:30:00Z","Tierra del Fuego","Other Foreign","Argentina",,"LV-BPA","35-143","false","Aviation","",,,"Fatal","4","0","0","4","0",,,,"-53.777864999999998","-67.755149000000003","LEARJET","35","AIR","SAWE","Aeropuerto Internacional Gobernador Ramón Trejo Noel","false","2",,"NSCH",,"NUSC","Substantial","VMC",,"Takeoff","N/A",,"Prelim","","None"
"GAA22WA208","ACC","105302","2022-06-15T15:30:00Z","Itaituba",,"Brazil",,"PT-JUM",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,"-5.3138800000000002","-57.65916","CESSNA","182","AIR",,,"false",,,,,"NUSC","Substantial",,,"Takeoff","N/A",,"Prelim","","None"
"GAA22WA197","ACC","105206","2022-06-05T10:00:00Z","Deadman's Cay","Other Foreign","Bahamas",,"N711JW","31-7712084","false","Aviation","",,,"Fatal","1","3","0","4",,,,,"23.178865999999999","-75.084869999999995","PIPER","PA31","AIR",,,"false","2",,,,"NUSC","Substantial",,,"Takeoff","N/A",,"Prelim","","None"
"GAA22WA183","ACC","105100","2022-05-11T15:05:00Z","BOITUVA","Other Foreign","Brazil",,"PT-OQR",,"false","Aviation","",,,"Fatal","2","7","0","9",,,,,"-23.309439999999999","-47.710000000000001","CESSNA","208","AIR",,,"false",,,,,"NUSC","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"GAA22WA165","ACC","105006","2022-04-14T10:30:00Z","Mineiros","Other Foreign","Brazil",,"PR-AAM","18802728T","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-17.479167","-52.749443999999997","CESSNA","188","AIR",,,"false",,,,,"NUSC","Substantial",,"Brazil (SAVANA AERO AGRICOLA LTDA)","Maneuvering","N/A",,"Prelim","","None"
"DCA22WA102","ACC","104807","2022-03-21T06:30:00Z","Wuzhou",,"China",,"B-1791",,"false","Aviation","",,,"Fatal","132","0","0","132",,,,,,,"BOEING","737","AIR",,,"false",,,,,"NUSC","Destroyed",,"China Eastern Airlines","Unknown","N/A",,"Prelim","","None"
"GAA22WA119","ACC","104775","2022-03-01T12:05:00Z","Eldorado","Other Foreign","Brazil",,"PP-IAI","25-4519","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"-24.537222","-48.049722000000003","PIPER","PA25","AIR",,,"false","1",,,"AAPL","NUSC","Substantial",,"Aero Agricola Caicara Ltd.","Maneuvering","N/A",,"Prelim","","None"
"GAA22WA101","ACC","104649","2022-02-05T17:30:00Z","Chapadão do Sul","Other Foreign","Brazil",,"PR-JPY","402B-1350","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"-18.751667000000001","-52.683889000000001","AIR TRACTOR","AT402","AIR","SDRV","Tenoar","false","1",,,"AAPL","NUSC","Destroyed",,,"Maneuvering","N/A",,"Prelim","","None"
"GAA22WA091","ACC","104597","2022-02-04T13:13:00Z","Ica","Other Foreign","Peru",,"OB-2179",,"false","Aviation","",,,"Fatal","7","0","0","7","0",,,,,,"CESSNA","207","AIR","SPZA",,"false",,,,,"NUSC","Destroyed",,,"Takeoff","N/A",,"Prelim","","None"
"GAA22WA050","ACC","104412","2021-12-15T18:25:00Z","Santo Domingo","Other Foreign","Dominican Republic",,"HI-1050","1482","false","Aviation","",,,"Fatal","9","0","0","9","0",,,,"18.426932999999998","-69.662994999999995","GULFSTREAM","GIV","AIR","MDSD","Las Americas International Airport","false","2",,"NSCH",,"NUSC","Destroyed","VMC","Helidosa Aviation Group S.A.","Emergency Descent","N/A",,"Prelim","","None"
"GAA22WA060","ACC","104457","2021-11-26T01:27:00Z","Ubatuba",,"Brazil",,"PP-WRS","34-813079","false","Aviation","",,,"Fatal","3","0","0","3","0",,,,"-23.413333000000002","-44.799722000000003","PIPER","PA34","AIR",,,"false","2",,,,"NUSC","Destroyed",,,"Unknown","N/A",,"Prelim","","None"
"GAA22WA039","ACC","104359","2021-10-19T12:16:00Z","Tapachula",,"Mexico",,"XB-RQE",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,"14.808","-92.341999999999999","CESSNA","401","AIR","MMTP","Tapachula International Airport","false",,,,,"NUSC","Unknown",,,"Unknown","N/A",,"Prelim","","None"
"GAA21WA186","ACC","103557","2021-07-26T11:15:00Z","Norderney",,"Germany",,"D-FLEC",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"CESSNA","208","AIR",,,"false",,,,,"NUSC","Substantial",,,"Approach","N/A",,"Prelim","","None"
"GAA21WA176","ACC","103508","2021-07-18T16:38:00Z","Durango",,"Mexico",,"N333WW","LJ-1741","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,,,"BEECH","C90","AIR","MMDO",,"false",,,,,"NUSC","Destroyed",,,"Landing","N/A",,"Prelim","","None"
"GAA21WA095","ACC","102992","2021-04-25T15:27:00Z","Fundo","Other Foreign","Venezuela",,"YV2324",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"CESSNA","182","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Takeoff","N/A",,"Prelim","","None"
"DCA21WA066","ACC","102507","2021-01-09T15:40:00Z","Jakarta",,"Indonesia",,"PK-CLC",,"false","Aviation","",,,"Fatal","62","0","0","62",,,,,"-6.1255699999999997","106.655998","BOEING","737","AIR","CGK","Soekarno-Hatta International Airport","false",,,"SCHD",,"NUSC","Destroyed",,"Sriwijaya Air","Enroute","N/A",,"Prelim","","None"
"WPR21WA036","ACC","102240","2020-10-31T04:29:00Z","Kirkwood","Other Foreign","South Africa",,"ZS-MAD","24-7956032","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"33.419167000000002","25.466111000000001","PIPER","PA-25-235","AIR",,,"false","1",,,,"NUSC","Destroyed",,"Sheasby Aviation","Maneuvering","N/A",,"Prelim","","None"
"CEN21WA036","ACC","102211","2020-09-16T17:35:00Z","Los Laureles",,"Mexico",,"XB-LVT","IA-CE7873","false","Aviation","",,,"Fatal","2","0","0","2",,,,,"24.240278","-106.85250000000001","CESSNA","TU206G","AIR",,,"false","1",,,,"NUSC","Destroyed",,,"Unknown","N/A",,"Prelim","","None"
"WPR20WA292","ACC","101893","2020-08-26T20:20:00Z","Springs",,"South Africa",,"ZE-OET","172-53141","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"-26.249444","28.398332","CESSNA","172","AIR",,,"false",,"REC",,,"NUSC","Substantial",,"Mach 1 Flying School","Landing","N/A",,,"","None"
"DCA20WA108","ACC","101319","2020-05-22T04:00:00Z","Karachi",,"Pakistan",,"AP-BLD","2274","false","Aviation","",,,"Fatal","97","2","0","99","0",,,,,,"AIRBUS","A320","AIR","KHI","Karachi Jinnah","false",,,"SCHD",,"NUSC","Destroyed",,"Pakistan International Airlines","Approach","N/A",,,"","None"
"CEN20WA135","ACC","101135","2020-03-15T17:30:00Z","Tepalcatepec, Michoacán",,"Mexico",,"XB-VOO","25-2883","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"19.165277","-102.841392","PIPER","PA25","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Maneuvering","N/A",,,"","None"
"ERA20WA136","ACC","101115","2020-03-13T08:30:00Z","Tefe",,"Brazil",,"PR-GSG","310R 0614","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"-3.3772220000000002","-64.732498000000007","Cessna","310","AIR","SBTF","Tefe Aerodrome","false","2","REC",,,"NUSC","Substantial",,"Stilus Taxi Aereo Ltda","Unknown","N/A",,,"","None"
"WPR20WA107","ACC","101068","2020-03-11T04:00:00Z","Lockhart River",,"Australia",,"VH-OZO","404-0653","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,"-12.829999000000001","143.35694799999999","Cessna","404","AIR",,,"false","2","REC",,,"NUSC","Destroyed",,,"Landing","N/A",,,"","None"
"DCA20RA069","ACC","100901","2020-02-05T16:19:00Z","Istanbul",,"Turkey",,"TC-IZK",,"false","Aviation","",,,"Fatal","3","19","161","183","0",,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"NUSC","Substantial",,"Pegasus Airlines","Landing","N/A",,,"","None"
"DCA20RA048","ACC","100787","2020-01-08T03:40:00Z","Tehran",,"Iran",,"UR-PSR",,"false","Aviation","",,,"Fatal","176","0","0","176","0",,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed",,"Ukraine International Airlines","Initial Climb","N/A",,,"","None"
"GAA20WA101","ACC","100766","2019-12-24T10:30:00Z","Rio Branco, Cerro Largo",,"Uruguay",,"CX-BRE-R",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"PIPER","PA25","AIR",,,"false",,,,,"NUSC","Substantial",,"Daniel Cardozo","Maneuvering","N/A",,,"","None"
"DCA20WA019","ACC","100612","2019-11-24T04:20:00Z","Gomo",,"Congo",,"9S-GNH",,"false","Aviation","",,,"Fatal","29","0","0","17","12",,,,,,"DORNIER","228","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed",,"Busy Bee Congo","Takeoff","N/A",,,"","None"
"CEN19WA283","ACC","100126","2019-08-25T11:35:00Z","Inca, Mallorca",,"Spain",,"D-HOTT, EC-GU1",,"false","Aviation","",,,"Fatal","7","0","0","7","0",,,,,,"BELL, AEROPRAKT","206, A22L","HELI, AIR",,,"false, false",,,,,"NUSC, NUSN","Destroyed, Destroyed",,,"Unknown","N/A",,,"","None"
"ANC19WA043","ACC","100031","2019-07-26T11:00:00Z","Bella Bella",,"Canada",,"C-GURL","20800501","false","Aviation","",,,"Fatal","4","5","0","9","0",,,,,,"Cessna","208","AIR",,,"false","1","TP",,,"NUSC",,,"Seair Seaplanes Ltd","Enroute","N/A",,,"","None"
"WPR19WA156","ACC","99508","2019-05-26T05:47:00Z","Mount Isa",,"Australia",,"VH-SUX",,"false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"-20.520277","139.67611600000001","CESSNA","T210","AIR",,,"false",,,"NSCH",,"NUSC","Substantial",,,"Maneuvering","N/A",,,"","None"
"CEN19WA137","ACC","99381","2019-05-05T23:37:00Z","COAHUILA",,"Mexico",,"N601VH","5043","false","Aviation","",,,"Fatal","14","0","0","14","0",,,,,,"Canadair","CL 600 2B16","AIR",,,"false",,,,,"NUSC","Substantial",,,"Enroute","N/A",,,"","None"
"DCA19WA148","ACC","99442","2019-05-05T04:00:00Z","Moscow",,"Russia",,"RA89098",,"false","Aviation","",,,"Fatal","41","0","0","41","0",,,,,,"SUKHOI","RRJ95","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Initial Climb","N/A",,,"","None"
"ANC19WA023","ACC","99653","2019-05-04T15:25:00Z","Smithers",,"Canada",,"C-FLVN","18253755","false","Aviation","",,,"Fatal","3","1","0","4","0",,,,,,"Cessna","182","AIR",,,"false","1","REC",,,"NUSC","Destroyed",,"Lakes District Air Services Ltd.","Enroute","N/A",,,"","None"
"DCA19RA101","ACC","99078","2019-03-10T05:00:00Z","Addis Ababa",,"Ethiopia",,"ET-AVJ",,"false","Aviation","",,,"Fatal","157","0","0","157","0",,,,,,"BOEING","737","AIR",,,"false",,,,,"NUSC","Destroyed",,"Ethiopian Airlines","Initial Climb","N/A",,,"","None"
"ERA19WA121","ACC","99079","2019-03-09T16:15:00Z","Vereda La Bendicion",,"Colombia",,"HK2494",,"false","Aviation","",,,"Fatal","14","0","0","14","0",,,,"3.5686110000000002","-73.066946999999999","DOUGLAS","DC3","AIR",,,"false",,,"NSCH",,"NUSC","Destroyed","Unknown","LATINOAMERICANA DE SERVICIOS AEREOS - LASER S.A.S","Enroute","N/A",,,"","None"
"ERA19WA090","ACC","98906","2019-01-21T13:00:00Z","Jaguaré County",,"Brazil",,"PR-FBA","25-7656074","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-18.88861","-40.192222000000001","PIPER","PA25","AIR",,,"false",,,"NSCH",,"NUSC","Substantial","Unknown","Aeroverde Aviacao Agricola Ltda","Maneuvering","N/A",,,"","None"
"ERA19WA092","ACC","98907","2019-01-12T20:30:00Z","Campinas do Sul County",,"Brazil",,"PR-MJA","25-2636","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-27.667777999999998","-52.624721000000001","Piper","PA25","AIR",,,"false","1","REC",,,"NUSC","Substantial",,"Aerodinamica Aviacao Agricola Ltda-Me","Takeoff","N/A",,,"","None"
"WPR19WA040","ACC","98756","2018-12-07T10:29:00Z","Hobart",,"Australia",,"VH-OBL","2035","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-43.185554000000003","146.366668","PILATUS","BN2A-20","AIR",,,"false",,"REC",,,"NUSC","Destroyed",,"unknown","Maneuvering","N/A",,,"","None"
"DCA19RA017","ACC","98554","2018-10-29T04:00:00Z","Jakarta",,"Indonesia",,"PK-LQP",,"true","Aviation","",,"2021-06-03T04:00:00Z","Fatal","191","0","0","188",,,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"NUSC","Destroyed",,,"Initial Climb","N/A",,"Prelim","https://data.ntsb.gov/Docket?ProjectID=98554","None"
"DCA18RA292","ACC","98367","2018-09-28T04:00:00Z","Chuuk",,"Federated States Of Micronesia",,"P2-PXE","333024","false","Aviation","",,,"Fatal","1","4","11","16","0",,,,"7.4563879999999996","151.837219","BOEING","737","AIR","PTKK","Chuuk/Weno International Airpo","false",,,"SCHD",,"NUSC","Substantial",,"Air Niugini","Approach","N/A",,,"","None"
"WPR18WA235","ACC","98130","2018-08-08T04:00:00Z","Diatar",,"Mauritania",,"F-GOKZ","6032","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"AYRES","S2R","AIR",,,"false","1","TP",,,"NUSC","Destroyed",,,"Maneuvering","N/A",,,"","None"
"CEN18WA305","ACC","97965","2018-07-22T15:00:00Z","Namiquipa, Chihuahua",,"Mexico",,"XB-EGL, XB-DVX","25-5058, IA PA 86140","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"29.097778000000002","-107.480003","LAVIA ARGENTINA S.A., LAVIA ARGENTINA S.A.","PA-25-260, PA-25-235","AIR, AIR",,,"false, true",,,,,"NUSC, NUSC","Substantial, Substantial",,,"Maneuvering","N/A",,,"","None"
"CEN18WA234","ACC","97541","2018-06-07T12:30:00Z","Cajeme, Sonora",,"Mexico",,"XB-YEI",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"PIPER","PA-25","AIR",,,"false",,,,,"NUSC","Substantial",,,"Maneuvering","N/A",,,"","None"
"WPR18WA165","ACC","97426","2018-06-05T04:00:00Z","Njabini",,"Kenya",,"5Y-CAC",,"false","Aviation","",,,"Fatal","10","0","0","10","0",,,,"-0.42277700000000001","36.419998","CESSNA","208","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Enroute","N/A",,,"","None"
"DCA18RA186","ACC","97278","2018-05-18T16:11:00Z","Havana",,"Cuba",,"XA-UHZ",,"false","Aviation","",,,"Fatal","112","1","0","113","0",,,,,,"BOEING","737","AIR","MUHA","Havana-José Martí Internationa","false",,"TF","SCHD",,"NUSC","Destroyed",,"Cubana de Aviación","Takeoff","N/A",,,"","None"
"ERA18WA217","ACC","98056","2018-02-14T14:30:00Z","La Vega",,"Dominican Republic",,"N2451J","18801075","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"19.033332000000001","-70.429443000000006","Cessna","A188","AIR",,"NONE","false",,,,,"NUSC","Substantial","Unknown","Aeroserva","Maneuvering","N/A",,,"","None"
"DCA18WA107","ACC","96899","2018-02-11T05:00:00Z","Argunovo",,"Russia",,"RA-61704",,"false","Aviation","",,,"Fatal","71","0","0","71","0",,,,,,"ANTONOV","AN148","AIR",,,"false",,,,,"NUSC","Destroyed",,,"Initial Climb","N/A",,,"","None"
"CEN18FA063","ACC","96543","2017-12-31T12:56:00Z","Punta Islita",,"Costa Rica",,"TI-BEI","208B0900","false","Aviation","DirectorBrief","2019-12-16T05:00:00Z","2019-11-18T12:02:00Z","Fatal","12","0","0","12","0","The flight crew's failure to maintain airspeed while maneuvering to exit an area of rising terrain, which resulted in an exceedance of the airplane's critical angle of attack and an aerodynamic stall. Contributing to the accident was the flight crew's decision to continue the takeoff toward rising terrain that likely exceeded the airplane's climb capability, the lack of adequate weather reporting available for wind determination, and the lack of documented training for an airport requiring a non-standard departure.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Capability exceeded, Organizational issues - Support/oversight/monitoring - Training - (general) - Operator, Organizational issues - Management - Resources - Availability of equipment - Meteorological service",,"9.865278","-85.366111000000004","CESSNA","208","AIR","MRIA","Islita Airport","false","1","TP","NSCH",,"NUSC","Destroyed","VMC","Nature Air","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96543","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96543/pdf"
"CEN18WA067","ACC","96571","2017-12-30T17:42:00Z","Alicante",,"Spain",,"N1950M, EC-MMC","E3B-315, 33209","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"38.438330999999998","-0.46944399999999997","Construcciones Aeronauticas, BELL","C.A.S.A. 1.131, 412SP","AIR, HELI","LEMU","Muchamiel Aerodrome","false, false",,,,"PERS","NUSN, NUSC","Substantial, Substantial",,"Pilot, Babcock","Approach","N/A",,,"","None"
"CEN18WA055","ACC","96495","2017-12-14T17:20:00Z","Waldburg",,"Germany",,"OE-FWD","510-0049","false","Aviation","",,,"Fatal","3","0","0","3","0",,,,,,"Cessna Aircraft Company","510","AIR",,,"false","2",,,,"NUSC","Destroyed",,"Sky Taxi Luftfahrt GmbH","Approach","N/A",,,"","None"
"ERA18WA028","ACC","96354","2017-11-15T09:05:00Z","Ngorongoro",,"Tanzania",,"5H-EGG",,"false","Aviation","",,,"Fatal","11","0","0","11","0",,,,"-2.884722","35.823332999999998","CESSNA","208","AIR",,,"false",,,"SCHD",,"NUSC","Substantial","IMC","Coastal Aviation LTD.","Enroute","N/A",,,"","None"
"ERA18WA160","ACC","96917","2017-11-14T22:15:00Z","Itapolis",,"Brazil",,"PR-AAV","25-3801","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-21.622776999999999","-48.867778000000001","PIPER AIRCRAFT","PA-25-235","AIR",,,"false",,,,,"NUSC","Destroyed",,"EJ ESCOLA DE AERONAUTICA LTDA ME","Maneuvering","N/A",,,"","None"
"CEN17RA337","ACC","95945","2017-09-05T13:30:00Z","San Jose",,"Costa Rica",,"TI-AGM","U20602734","false","Aviation","",,,"Fatal","2","2","2","6","0",,,,"9.9555550000000004","-84.123335999999995","CESSNA","U206","AIR",,,"false",,,,,"NUSC","Destroyed",,"Airbell Air Charter","Takeoff","N/A",,"Prelim","","None"
"ERA17WA296","ACC","95908","2017-08-27T21:52:00Z","Ciudad Bolivar",,"Venezuela",,"YV2594","210-61992","false","Aviation","",,,"Fatal","1","4","0","5","0",,,,"7.8702769999999997","-63.399444000000003","CESSNA","T210","AIR",,,"false","1","REC",,,"NUSC","Substantial","Unknown",,"Enroute","N/A",,,"","None"
"ERA17WA193","ACC","95248","2017-05-26T13:00:00Z","Chernihiv",,"Ukraine",,"UR-WTA",,"false","Aviation","",,,"Fatal","1","0","0","1","0",,,,,,"CESSNA","172","AIR",,,"false",,,,,"NUSC","Substantial","Unknown",,"Takeoff","N/A",,,"","None"
"ERA17FA172","ACC","95104","2017-05-03T21:30:00Z","Colton","New York","United States",,"C-GQAM","31-7912093","false","Aviation","DirectorBrief","2018-11-05T05:00:00Z","2018-08-22T19:41:00Z","Fatal","1","0","0","1","0","The pilot's incapacitation for unknown reasons, which resulted in an overflight of his destination, a subsequent loss of engine power due to fuel starvation, and collision with terrain.","Personnel issues - Physical - Impairment/incapacitation - Other loss of consciousness - Pilot, Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"44.531112","-74.891113000000004","PIPER","PA31","AIR",,,"false","2","REC","SCHD",,"NUSC","Destroyed","VMC","Strait Air (2000) Ltd","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95104","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95104/pdf"
"ERA17WA349","ACC","96357","2017-02-23T11:30:00Z","Santa Catarina",,"Brazil",,"PT-WBO","25-5401","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"-26.09","-48.883887999999999","PIPER","PA25","AIR",,,"false",,,"NSCH",,"NUSC","Substantial","VMC","Seragri-Servicos Aero Agricolas LTDA","Maneuvering","N/A",,,"","None"
"ERA17WA093","ACC","94638","2017-01-19T17:30:00Z","Parati",,"Brazil",,"PR-SOM","LJ-1809","false","Aviation","",,,"Fatal","5","0","0","5","0",,,,"-23.224444999999999","-44.720275000000001","HAWKER BEECHCRAFT","C90GT","AIR","SDTK",,"false",,,,,"NUSC","Substantial",,"EMILIANO EMPREEND.E PART.HOT.SOCIED.LTDA","Unknown","N/A",,,"","None"
