"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA06MA064","ACC","64393","2006-08-27T06:07:00Z","Lexington","Kentucky","United States","AAR0705","N431CA","7472","true","Aviation","Report","2007-09-27T04:00:00Z","2007-01-18T16:00:00Z","Fatal","49","1","0","50","0","the flight crewmembers's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross-check and verify that the airplane was on the correct runway before takeoff. Contributing to the accident were the flight crew's nonpertinent conversation during taxi, which resulted in a loss of positional awareness, and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specific air traffic control clearances.",,,"38.009849000000003","-84.480377000000004","Bombardier, Inc.","CRJ-100","AIR","LEX","BLUE GRASS","false","2","TF","SCHD",,"121","Destroyed","VMC","COMAIR INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=64393","https://www.ntsb.gov/investigations/Pages/DCA06MA064.aspx"
"DCA06MA010","ACC","62962","2005-12-19T15:39:00Z","Miami","Florida","United States","AAR0704","N2969","J27","true","Aviation","Report","2007-08-30T04:00:00Z","2006-06-22T13:00:00Z","Fatal","20","0","0","20","0","The in-flight failure and separation of the right wing during normal flight, which resulted from (1) the failure of the Chalk's Ocean Airways maintenance program to identify and properly repair fatigue cracks in the right wing and (2) the failure of the Federal Aviation Administration to detect and correct deficiencies in the company's maintenance program.",,,"25.780861999999999","-80.199675999999997","Grumman","G-73T","AIR","X44","Miami Seaplane Base","false","2","TP","SCHD",,"121","Destroyed","VMC","FLYING BOAT INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62962","https://www.ntsb.gov/investigations/Pages/DCA06MA010.aspx"
"DCA05MA004","ACC","60395","2004-10-19T19:37:00Z","Kirksville","Missouri","United States","AAR0601","N875JX","875","true","Aviation","Report","2006-01-24T05:00:00Z","2022-04-19T04:00:00Z","Fatal","13","2","0","15","0","the pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in IMC, including their descent below the minimum descent altitude (MDA) before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying (monitoring) pilot.

Contributing to the accident was the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing only the airport approach lights. The pilots' unprofessional behavior during the flight and their fatigue likely contributed to their degraded performance.

.",,,"40.190479000000003","-92.570532999999998","British Aerospace","Jetstream 32","AIR","IRK","KIRKSVILLE REGIONAL","false","2","TP","SCHD",,"121","Destroyed","IMC","CORPORATE AIRLINES",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=60395","https://www.ntsb.gov/investigations/Pages/DCA05MA004.aspx"
"DCA04MA068","ACC","59897","2004-08-13T00:49:00Z","Florence","Kentucky","United States","AAR0603","N586P","68","true","Aviation","Report","2006-08-09T04:00:00Z","2024-01-23T05:00:00Z","Fatal","1","0","1","2","0","fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and his lateinitiation of the in-range checklist. Further contributing to the accident was the flight crew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance.",,,"38.990478000000003","-84.640288999999996","Convair Div. of Gen. Dynamics","CV-340 (580)","AIR","CVG","CINCINNATI/NORTHERN KENTUCKY I","false","2","TP","NSCH",,"121","Destroyed","VMC","AIR TAHOMA INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=59897","https://www.ntsb.gov/investigations/Pages/DCA04MA068.aspx"
"DCA03MA022","ACC","56294","2003-01-08T09:49:00Z","Charlotte","North Carolina","United States","AAR0401","N233YV","UE-233","true","Aviation","Report","2004-06-29T04:00:00Z","2003-05-20T13:00:00Z","Fatal","21","0","1","21","1","the airplane's loss of pitch control during take-off.  The loss of pitch control resulted from the incorrect rigging of the elevator system compounded by the airplane's aft center of gravity, which was substaintially aft of the certified aft limit.  

Contributing to the cause of the accident were (1) Air Midwest's lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station; (2) Air Midwest's maintenance procedures and documentation; (3) Air Midwest's weight and balance program at the time of the accident; (4) the Raytheon Aerospace quality assurance inspector's failure to detect the incorrect rigging of the elevator control system; (5) the Federal Aviation Administration's (FAA) average weight assumptions in its weight and balance program guidance at the time of the accident; and (6) the FAA's lack of oversight of Air Midwest's maintenance program and its weight and balance program.",,,"35.230711999999997","-80.839157","Beech","1900D","AIR","CLT","Charlotte-Douglas Internationa","false","2","TP","SCHD",,"121","Destroyed","VMC","AIR MIDWEST INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=56294","https://www.ntsb.gov/investigations/Pages/DCA03MA022.aspx"
"DCA02MA001","ACC","53768","2001-11-12T10:16:00Z","Belle Harbor","New York","United States","AAR0404","N14053","420","true","Aviation","Report","2005-04-14T04:00:00Z","2002-10-29T18:31:00Z","Fatal","265","0","0","260","5","the in-flight separation of the vertical stabilizer as a result of the loads beyond ultimate design that were created by the first officer's unnecessary and excessive rudder pedal inputs. Contributing to these rudder pedal inputs were characteristics of the Airbus A300-600 rudder system design and elements of the American Airlines Advanced Aircraft Maneuvering Program.",,,"40.579169999999998","-73.840537999999995","Airbus Industrie","A300B4-605R","AIR","JFK","John F. Kennedy International","false","2","TF","SCHD",,"121","Destroyed","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=53768","https://www.ntsb.gov/investigations/Pages/DCA02MA001.aspx"
"DCA01MA060","ACC","53468","2001-09-11T08:45:00Z","New York City","New York","United States",,"N334AA",,"false","Aviation","DirectorBrief","2006-03-07T05:00:00Z",,"Fatal","92","0","0","92","0","The Safety Board did not determine the probable cause and does not plan to issue a report or open a public docket.  The terrorist attacks of September 11, 2001 are under the jurisdiction of the Federal Bureau of Investigation.  The Safety Board provided requested technical assistance to the FBI, and any material generated by the NTSB is under the control of the FBI.",,,,,"Boeing","767-200ER","AIR",,,"false","2","TF","SCHD",,"121","Destroyed",,"American Airlines",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/53468/pdf"
"DCA01MA063","ACC","53528","2001-09-11T04:00:00Z","New York City","New York","United States",,"N612UA",,"false","Aviation","DirectorBrief","2006-03-07T05:00:00Z",,"Fatal","65","0","0","65","0","The Safety Board did not determine the probable cause and does not plan to issue a report or open a public docket.  The terrorist attacks of September 11, 2001 are under the jurisdiction of the Federal Bureau of Investigation.  The Safety Board provided requested technical assistance to the FBI, and any material generated by the NTSB is under the control of the FBI.",,,,,"Boeing","767-200ER","AIR",,,"false","2","TF","SCHD",,"121","Destroyed",,"United Airlines",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/53528/pdf"
"DCA01MA064","ACC","53529","2001-09-11T04:00:00Z","Arlington","Virginia","United States",,"N644AA",,"false","Aviation","DirectorBrief","2006-03-07T05:00:00Z",,"Fatal","64","0","0","64","0","The Safety Board did not determine the probable cause and does not plan to issue a report or open a public docket.  The terrorist attacks of September 11, 2001 are under the jurisdiction of the Federal Bureau of Investigation.  The Safety Board provided requested technical assistance to the FBI, and any material generated by the NTSB is under the control of the FBI.",,,"38.889842000000002","-77.099327000000002","Boeing","757-200","AIR",,,"false",,,"SCHD",,"121","Destroyed",,"American Airlines",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/53529/pdf"
"DCA01MA065","ACC","53530","2001-09-11T04:00:00Z","Shanksville","Pennsylvania","United States",,"N591UA","28142","false","Aviation","DirectorBrief","2006-03-07T05:00:00Z","2006-02-23T14:34:00Z","Fatal","44","0","0","44","0","The Safety Board did not determine the probable cause and does not plan to issue a report or open a public docket.  The terrorist attacks of September 11, 2001 are under the jurisdiction of the Federal Bureau of Investigation.  The Safety Board provided requested technical assistance to the FBI, and any material generated by the NTSB is under the control of the FBI.",,,"40.019229000000003","-78.909392999999994","Boeing","757","AIR",,,"false",,,"SCHD",,"121","Destroyed",,"United Airlines",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=53530","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/53530/pdf"
"MIA01FA029","ACC","50666","2000-11-20T13:22:00Z","MIAMI","Florida","United States",,"N14056","463","true","Aviation","DirectorBrief","2006-02-28T05:00:00Z","2002-01-22T20:41:00Z","Fatal","1","3","19","23","0","The failure of the flight crew to perform the cabin pressurization manual control abnormal checklist after experiencing a pressurization system malfunction and switching to manual pressurization control, and the failure of the flight crew to perform the emergency landing checklist prior to landing, resulting in the airplane having an excessive cabin pressure level after landing which led to a rapid decompression of the airplane when a flight attendant opened door and was ejected out of the airplane during emergency evacuation that was initiated by the captain.   Contributing to the accident was the failure of operator maintenance personnel to ensure that insulation blankets around the forward and aft outflow valves were properly secured in accordance with airplane manufacturer's data, resulting in a malfunction of the pressurization system.   Other contributing factors include the absence of FAA requirements that each emergency exit door has a system to relieve pressure or contain specific warnings (such as lights, placards, or other indications that clearly identify the danger of opening the emergency exit doors when the airplane is over pressurized); the absence of FAA technical specifications for lavatory ionization smoke detectors; the absence of a requirement in the airplane's ground/emergency evacuation checklist for the flight crew to ensure that the cabin differential pressure is zero pounds per square inch before signaling flight attendants to begin an emergency evacuation; and the absence of a mechanical stop in the negative direction on the cabin altimeter gauge.",,,"25.815000000000001","-80.296668999999994","Airbus Industrie","A300B4-605R","AIR","KMIA","Miami International","false","2","TF","SCHD",,"121","Minor","VMC","AMERICAN AIRLINES",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=50666","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/50666/pdf"
"DCA00MA026","ACC","48715","2000-02-16T20:51:00Z","RANCHO CORDOVA","California","United States","AAR0302","N8079U","45947","true","Aviation","Report","2003-09-17T04:00:00Z","2001-08-27T15:37:00Z","Fatal","3","0","0","3","0","A loss of pitch control resulting from the disconnection of the right elevator control tab.  The disconnection was caused by the failure to properly secure and inspect the attachment bolt.",,,"38.570095000000002","-121.169754","Douglas","DC-8-71F","AIR","MHR","Sacramento Mather Airport","false","4","TF","NSCH",,"121","Destroyed","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=48715","https://www.ntsb.gov/investigations/Pages/DCA00MA026.aspx"
"DCA00MA023","ACC","48551","2000-01-31T17:20:00Z","Port Hueneme","California","United States","AAR0201","N963AS","53077","true","Aviation","Report","2003-05-29T04:00:00Z","2000-12-14T20:03:00Z","Fatal","88","0","0","88","0","A loss of airplane pitch control resulting from the in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut threads. The thread failure was caused by excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly.   Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's (FAA) approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads, and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss.",,,"34.110050000000001","-119.110557","Douglas","MD-83","AIR","LAX","Los Angeles Int'n'l Airport","false","2","TF","SCHD","UNK","121","Destroyed","VMC","ALASKA AIRLINES INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=48551","https://www.ntsb.gov/investigations/Pages/DCA00MA023.aspx"
"DCA99MA060","ACC","46532","1999-06-01T23:51:00Z","LITTLE ROCK","Arkansas","United States","AAR0102","N215AA","49163","true","Aviation","Report","2002-05-28T04:00:00Z","2000-01-27T18:27:00Z","Fatal","11","45","65","121","0","The flight crew's failure to discontinue the approach when severe thunderstorms and their associated hazards to flight operations had moved into the airport area and the crew's failure to ensure that the spoilers had extended after touchdown.

Contributing to the accident were the flight crew's (1) impaired performance resulting from fatigue and the situational stress associated with the intent to land under the circumstances, (2) continuation of the approach to a landing when the company's maximum crosswind component was exceeded, and (3) use of reverse thrust greater than 1.3 engine pressure ratio after landing.",,,,,"McDonnell Douglas","MD-82","AIR","LIT","ADAMS FIELD","false","2","TF","SCHD","UNK","121","Destroyed","IMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=46532","https://www.ntsb.gov/investigations/Pages/DCA99MA060.aspx"
"DCA98MA015","ACC","11045","1997-12-28T05:00:00Z","PACIFIC OCEAN","Pacific Ocean",,,"N4723U","","false","Aviation","DirectorBrief","2001-05-14T04:00:00Z","1999-08-19T13:17:00Z","Fatal","1","18","171","190","0","The pilot-in-command's inadvertent flight into adverse weather conditions, and the difficulty of obtaining adequate weather forecasts of over-ocean turbulence.  Factors contributing to the accident include the presence of clear air turbulence, and the failure of the flight attendant to issue a safety advisory.",,,,,"Boeing","747-122","AIR",,,"false",,"UNK","SCHD","UNK","121","Minor","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=11045","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/11045/pdf"
"DCA97MA059","ACC","11028","1997-08-07T12:36:00Z","MIAMI","Florida","United States","AAR9802","N27UA","45942","true","Aviation","Report","1998-06-16T04:00:00Z","1997-11-07T19:32:00Z","Fatal","5","0","0","4","1","The airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of Fine Air to exercise operational control over the cargo loading process; and (2) the failure of Aeromar to load the airplane as specified by Fine Air. Contributing to the accident was the failure of the Federal Aviation Administration (FAA) to adequately monitor Fine Air's operational control responsibilities for cargo loading and the failure of the FAA to ensure that known cargo-related deficiencies were corrected at Fine Air.",,,,,"Douglas","DC-8-61","AIR","MIA","MIAMI INTERNATIONAL AIRPO","false","4","TF","NSCH","UNK","121","Destroyed","VMC","FINE AIRLINES, INC.",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=11028","https://www.ntsb.gov/investigations/Pages/DCA97MA059.aspx"
